,time,ra,dec,maglim,comment,skynoise,band,zp
1618,60563.99240866239,278.08864791965306,-58.410218234895375,23.511156966063393,205114,78.8074380458608,lssti,30
1619,60563.99333317148,276.71179724295087,-61.23230707865682,23.492179742380483,205116,80.19699559787531,lssti,30
1620,60563.99380253163,270.277152375683,-62.06516925363153,23.477213876975455,205117,81.31009058037031,lssti,30
1621,60563.99427178112,263.5835177115895,-62.675957732371074,23.45078118579473,205118,83.31391087289688,lssti,30
1622,60563.994725905264,262.6482360424177,-57.68863382977197,23.481609610091454,205119,80.98156242776665,lssti,30
1623,60563.995229691274,273.8722461053267,-56.455120301857285,23.51806174984574,205120,78.30784918338887,lssti,30
1624,60563.99567906292,275.2052884680486,-53.61337715434694,23.536051143008166,205121,77.02106836517393,lssti,30
1625,60563.99660472382,276.30312619622083,-50.74987472748113,23.54824279643809,205123,76.16104197480115,lssti,30
1626,60564.01542956952,278.8234036256105,-68.65900384812183,23.538480172410438,205164,76.84894799360751,lssti,30
1627,60564.01590214385,270.2217153733491,-69.62982940556381,23.508441412006178,205165,79.0047914244885,lssti,30
1628,60564.0168433433,275.0106162142281,-64.04026918535138,23.57528894139358,205167,74.28727349846909,lssti,30
1629,60564.03975822103,278.8234036256105,-68.65900384812183,22.6728497363643,205214,170.56507168696425,lsstz,30
1630,60564.04022837362,270.2217153733491,-69.62982940556381,22.633221502845714,205215,176.90552410270723,lsstz,30
1631,60564.04116373493,275.0106162142281,-64.04026918535138,22.707331796878606,205217,165.23318599005702,lsstz,30
1632,60565.057885021124,278.0073499410079,-67.50625351951102,23.821955391573738,206155,59.1899317272797,lsstr,30
1633,60565.05835333827,269.8620457315398,-68.06281433656565,23.767426168000952,206156,62.238558931271214,lsstr,30
1634,60565.058803144704,273.60801672639553,-65.31226995456217,23.8024577373426,206157,60.262466175413486,lsstr,30
1635,60565.05926871605,266.1044969576987,-65.6755828224721,23.76663643976803,206158,62.28384564721595,lsstr,30
1636,60565.06022346023,276.63974876574315,-62.47802453517709,23.860788077515554,206160,57.11034249350784,lsstr,30
1637,60565.060686967285,269.91218934160366,-63.018039850973935,23.8076941674308,206161,59.97252424553901,lsstr,30
1638,60565.06116952981,260.35681169980194,-60.729412859163695,23.750760101733455,206162,63.20129177885482,lsstr,30
